51, Private, 96062, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 40, United-States, >50K
37, Private, 208358, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
40, State-gov, 170525, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
39, Self-emp-not-inc, 174308, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
60, Private, 245062, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
65, ?, 195733, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States, >50K
27, Private, 181659, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Self-emp-not-inc, 165039, Some-college, 10, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
19, Private, 475028, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
19, State-gov, 378418, HS-grad, 9, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 181655, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 2377, 45, United-States, <=50K
43, State-gov, 260960, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
64, Private, 270333, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Self-emp-not-inc, 93208, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 75, Italy, <=50K
50, Self-emp-not-inc, 124793, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States, <=50K
19, ?, 241616, HS-grad, 9, Never-married, ?, Unmarried, White, Male, 0, 2001, 40, United-States, <=50K
41, Private, 227644, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
50, Private, 75472, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 40, ?, <=50K
37, Private, 203070, Some-college, 10, Separated, Adm-clerical, Own-child, White, Male, 0, 0, 62, United-States, <=50K
26, Private, 195105, HS-grad, 9, Never-married, Sales, Not-in-family, Other, Male, 0, 0, 40, United-States, <=50K
30, Private, 30226, 11th, 7, Divorced, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
49, Self-emp-inc, 125892, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
56, Private, 311249, HS-grad, 9, Widowed, Adm-clerical, Unmarried, Black, Female, 0, 0, 38, United-States, <=50K
42, Self-emp-not-inc, 201522, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
28, Private, 303954, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1848, 42, United-States, >50K
47, State-gov, 224149, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
36, Private, 393673, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, >50K
32, Private, 157287, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 171398, 10th, 6, Never-married, Sales, Not-in-family, Other, Male, 0, 0, 40, United-States, <=50K
43, Private, 57600, Doctorate, 16, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, ?, <=50K
58, State-gov, 110517, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 4064, 0, 40, India, <=50K
32, Private, 81528, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 60, United-States, <=50K
34, Private, 509364, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 87653, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
47, State-gov, 189123, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Local-gov, 147328, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States, >50K
23, Private, 325596, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 367749, 1st-4th, 2, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, El-Salvador, <=50K
43, Private, 307767, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 198163, Masters, 14, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
18, ?, 297396, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 10, United-States, <=50K
49, Local-gov, 288548, Masters, 14, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
51, State-gov, 172962, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
40, Private, 164663, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 79797, HS-grad, 9, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, Japan, >50K
45, Private, 178319, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 56, United-States, >50K
55, Private, 153484, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States, >50K
57, Local-gov, 268252, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 62, United-States, <=50K
30, State-gov, 295612, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 259351, 10th, 6, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Male, 0, 0, 40, Mexico, <=50K
26, Private, 117833, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 1669, 50, United-States, <=50K
39, Private, 75995, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
24, Private, 69045, Some-college, 10, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 40, Jamaica, <=50K
51, Private, 53197, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Self-emp-inc, 291518, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 15024, 0, 55, United-States, >50K
32, Federal-gov, 111567, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
28, Private, 282398, Some-college, 10, Separated, Tech-support, Unmarried, White, Male, 0, 0, 40, United-States, >50K
24, Private, 611029, 10th, 6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 44121, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 1876, 40, United-States, <=50K
64, State-gov, 550848, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
19, ?, 35507, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 45, United-States, <=50K
25, Private, 111058, Assoc-acdm, 12, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
90, ?, 256514, Bachelors, 13, Widowed, ?, Other-relative, White, Female, 991, 0, 10, United-States, <=50K
29, Private, 190539, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 6849, 0, 48, United-States, <=50K
49, Self-emp-inc, 289707, HS-grad, 9, Separated, Other-service, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
27, Self-emp-not-inc, 37302, Assoc-acdm, 12, Married-civ-spouse, Transport-moving, Husband, White, Male, 7688, 0, 70, United-States, >50K
30, Private, 488720, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico, <=50K
34, Local-gov, 240252, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 109165, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
35, Private, 150125, Assoc-voc, 11, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
43, Private, 193494, 10th, 6, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
