implementation,checkpoint,support_low,support_high,source_file,gt,pred,threshold,win_size,policy,score_used,first_detect_window,n_detect_windows,n_windows_tested
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-15-26-78-129.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-15-65-129.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-5-14-34-129.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-14-15-48-78.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-15-34-54-57-77.pkl,0,1,5.0,5,max_t,16.0,1,6,21
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.00-support-0.0490-0.0525-target-5-15-34-55-88.pkl,0,1,5.0,5,max_t,16.0,1,6,21
