implementation,support_low,support_high,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.049,0.0525,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0525,0.0551,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0551,0.0581,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0581,0.0615,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0615,0.0658,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0658,0.0704,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0704,0.0765,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0765,0.0849,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.0849,0.096,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.096,0.109,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.109,0.131,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.131,0.186,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
adaptive,0.186,0.992,0.5,0.6666666666666666,1.0,0.0,10,10,0,0,20
baseline,0.049,0.0525,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0525,0.0551,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0551,0.0581,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0581,0.0615,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0615,0.0658,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0658,0.0704,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0704,0.0765,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0765,0.0849,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.0849,0.096,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.096,0.109,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.109,0.131,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.131,0.186,0.5,0.0,0.0,1.0,0,0,10,10,20
baseline,0.186,0.992,0.5,0.0,0.0,1.0,0,0,10,10,20
