implementation,checkpoint,support_low,support_high,source_file,window_end,gt,pred,threshold,win_size
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,25,1,0,5.0,5
