implementation,support_low,support_high,Accuracy,F1,FPR,FNR,TP,FP,TN,FN,N
adaptive,0.049,0.0525,0.5142857142857142,0.2608695652173913,0.21739130434782608,0.8105263157894737,36,50,180,154,420
adaptive,0.0525,0.0551,0.5071428571428571,0.24175824175824173,0.22077922077922077,0.8253968253968254,33,51,180,156,420
adaptive,0.0551,0.0581,0.5047619047619047,0.2352941176470588,0.22077922077922077,0.8306878306878307,32,51,180,157,420
adaptive,0.0581,0.0615,0.5119047619047619,0.2545454545454545,0.22077922077922077,0.8148148148148148,35,51,180,154,420
adaptive,0.0615,0.0658,0.5142857142857142,0.2608695652173913,0.21739130434782608,0.8105263157894737,36,50,180,154,420
adaptive,0.0658,0.0704,0.5190476190476191,0.27338129496402874,0.22077922077922077,0.798941798941799,38,51,180,151,420
adaptive,0.0704,0.0765,0.5166666666666667,0.2671480144404332,0.21739130434782608,0.8052631578947368,37,50,180,153,420
adaptive,0.0765,0.0849,0.5071428571428571,0.24175824175824173,0.22077922077922077,0.8253968253968254,33,51,180,156,420
adaptive,0.0849,0.096,0.5190476190476191,0.2733812949640288,0.21739130434782608,0.8,38,50,180,152,420
adaptive,0.096,0.109,0.5095238095238095,0.24817518248175185,0.21739130434782608,0.8210526315789474,34,50,180,156,420
adaptive,0.109,0.131,0.5023809523809524,0.22878228782287824,0.21739130434782608,0.8368421052631579,31,50,180,159,420
adaptive,0.131,0.186,0.5142857142857142,0.2608695652173913,0.21739130434782608,0.8105263157894737,36,50,180,154,420
adaptive,0.186,0.992,0.5119047619047619,0.2545454545454545,0.21739130434782608,0.8157894736842105,35,50,180,155,420
baseline,0.049,0.0525,0.5261904761904762,0.38006230529595014,0.30434782608695654,0.6789473684210526,61,70,160,129,420
baseline,0.0525,0.0551,0.49523809523809526,0.3116883116883117,0.30735930735930733,0.746031746031746,48,71,160,141,420
baseline,0.0551,0.0581,0.5119047619047619,0.34920634920634924,0.30735930735930733,0.708994708994709,55,71,160,134,420
baseline,0.0581,0.0615,0.5214285714285715,0.36990595611285265,0.30735930735930733,0.6878306878306878,59,71,160,130,420
baseline,0.0615,0.0658,0.5333333333333333,0.3950617283950617,0.30434782608695654,0.6631578947368421,64,70,160,126,420
baseline,0.0658,0.0704,0.5404761904761904,0.4097859327217125,0.30735930735930733,0.6455026455026455,67,71,160,122,420
baseline,0.0704,0.0765,0.5547619047619048,0.43843843843843844,0.30434782608695654,0.6157894736842106,73,70,160,117,420
baseline,0.0765,0.0849,0.5428571428571428,0.4146341463414634,0.30735930735930733,0.6402116402116402,68,71,160,121,420
baseline,0.0849,0.096,0.5380952380952381,0.40490797546012275,0.30434782608695654,0.6526315789473685,66,70,160,124,420
baseline,0.096,0.109,0.5142857142857142,0.3544303797468354,0.30434782608695654,0.7052631578947368,56,70,160,134,420
baseline,0.109,0.131,0.5261904761904762,0.38006230529595014,0.30434782608695654,0.6789473684210526,61,70,160,129,420
baseline,0.131,0.186,0.5261904761904762,0.38006230529595014,0.30434782608695654,0.6789473684210526,61,70,160,129,420
baseline,0.186,0.992,0.530952380952381,0.3900928792569659,0.30434782608695654,0.6684210526315789,63,70,160,127,420
