implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file,win_size,comparison
baseline,adult_model_10,0.049,0.0525,delta,0.7914264361310693,0.0,0.0001300745696495221,0.013610882053627966,-0.06028526823181139,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.8068254978240189,0.12915758805501024,0.153268208038754,0.009367270562539314,-0.07725548986888686,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.8032090549967733,0.09954510779458223,0.1198184838752132,-0.00674822084629074,-0.012541621060475013,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.7663262131174108,0.0,6.353298742260946e-05,-0.1411625941358317,-0.21877369758141565,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.7767624977824212,0.1281063210218721,0.08348032554543496,-0.1882582386697357,-0.2507959851495211,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.8046503420933517,0.1480001523266527,0.11991253178695382,0.0030667930015814224,-0.000695285523625691,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.816182031034159,0.1662406649256248,0.23395807043650693,0.17754806639915274,0.1816664860471452,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.8158738564440146,0.1662406649256248,0.22353322538396644,0.1426983729123316,0.17085205527795055,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.7784971597692435,0.07979752494273391,0.09601014297999193,-0.009232586124035732,-0.008127224955143125,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,delta,0.8026906742366821,0.030980210633106214,0.03290878143678749,-0.20835211215967758,-0.0884008943054352,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,tstat,0.8058898820978978,0.03382174908954569,0.026768059667035247,-0.27465444423148594,-0.10602404414255802,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,5,first_vs_last
baseline,adult_model_10,0.049,0.0525,random,0.832915725100041,0.05672829363543619,0.13672894156139387,-0.0025738314452421174,-0.0008356494680135761,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,5,first_vs_last
