implementation,method,support_low,support_high,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
adaptive,delta,0.049,0.0525,0.7822912328309561,0.0921561926840818,0.10248483577107932,0.002114203590795499,0.01385318899224371
adaptive,delta,0.0525,0.0551,0.7869459416435072,0.04389758809808242,0.08621302718989252,0.01649039525586555,0.014906122025058779
adaptive,delta,0.0551,0.0581,0.7805532205621837,0.05751536665626178,0.12557878164921898,0.03753120484098036,0.04736640195027794
adaptive,delta,0.0581,0.0615,0.7910346303626323,0.0964951711796009,0.16559410949336212,0.03963004103648495,0.03802723959481095
adaptive,delta,0.0615,0.0658,0.7877107146557776,0.08108130548837468,0.10792829948569038,0.03317533642707874,0.03771609704454618
adaptive,delta,0.0658,0.0704,0.8076732623864512,0.10800264829878677,0.12472004440591047,0.01760364633113334,0.014027329005014081
adaptive,delta,0.0704,0.0765,0.7992934687598632,0.17002421959006042,0.20851372454618242,0.05738318816809427,0.05765163450996593
adaptive,delta,0.0765,0.0849,0.801811826582912,0.13945646517604635,0.18527297202291806,0.04722024849894341,0.05692644908214074
adaptive,delta,0.0849,0.096,0.8303850088015837,0.18698297923517598,0.24837204243845307,0.020810124454494767,0.02744067763709803
adaptive,delta,0.096,0.109,0.8197934600435012,0.09443880808003809,0.1838060419776159,0.031724260090350995,0.04817599921790975
adaptive,delta,0.109,0.131,0.8383782884496807,0.0672762373916869,0.21306743845705442,0.0173944494633721,0.02957677681043177
adaptive,delta,0.131,0.186,0.8534352667818279,0.2101752692909789,0.25206717937494344,0.03706939046213664,0.0356505827729683
adaptive,delta,0.186,0.992,0.9010950039612189,0.229356193443089,0.33728955812669187,0.013343564350227469,0.00908863747096347
adaptive,random,0.049,0.0525,0.7805360804637399,0.08187189082386773,0.09913391401063973,0.0059879127711896804,0.006941895625851011
adaptive,random,0.0525,0.0551,0.7866531345321974,0.10533459502711176,0.0953324271041946,0.00152310448300841,-0.00073664632354387
adaptive,random,0.0551,0.0581,0.7762750820117519,0.07912583950396652,0.09230961412095248,-0.0008515497045445197,-0.0008636420063225401
adaptive,random,0.0581,0.0615,0.7849332550331836,0.121612743113338,0.10761667684294236,-0.0028901090951732682,-0.00340364331905151
adaptive,random,0.0615,0.0658,0.7857925933404907,0.07768783870560164,0.08718096750142054,0.00035431680447213,0.0005421490260960401
adaptive,random,0.0658,0.0704,0.804738218798275,0.1073268252241673,0.10585506859801033,0.0002742339602525602,-0.0005031345789585999
adaptive,random,0.0704,0.0765,0.7900979058266502,0.08462845084736503,0.10222520644473117,0.00298541070355271,0.0037424191607447503
adaptive,random,0.0765,0.0849,0.7944321117177569,0.10704770410238376,0.10881512788935395,0.00023387789424422024,0.0003814106717538701
adaptive,random,0.0849,0.096,0.8236215263195359,0.15052653899346025,0.14322475542761978,0.00043047044433414984,0.00018919771843382022
adaptive,random,0.096,0.109,0.8164396373229165,0.16185171652099656,0.14583959664679985,0.00128385779062849,0.00012118788949275842
adaptive,random,0.109,0.131,0.8384141805219587,0.20040270929922968,0.19978128796712724,0.00211185307096097,-0.0002378607328809499
