implementation,checkpoint,support_low,support_high,method,nDCG,nDCG_10,nDCG_100,Pearson,Spearman,source_file
baseline,adult_model_10,0.049,0.0525,delta,0.7097462038662237,0.0015833932494796576,0.0013129997349563504,0.034432173885810345,0.04236658543726505,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.721780075019976,0.035065511513741876,0.07178120536107245,0.047217834157933375,0.04948990075947804,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl
baseline,adult_model_10,0.049,0.0525,random,0.7215544962537025,0.08110235745809187,0.10590209631996864,-0.0018876723098021893,-0.0018007246391877542,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.7121993436244974,0.001696576485517623,0.0014307986294027307,0.03352250733581179,0.03855177654960955,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.723433912527534,0.01582749192506261,0.03827208210108636,0.05183352992119534,0.049415193636051374,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl
baseline,adult_model_10,0.049,0.0525,random,0.7246532856820489,0.10945290826662027,0.10139409027722403,-0.001394903998867891,-0.0025594025671240223,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.6988388042504697,0.055345089035904994,0.08184646817184997,0.05357636455149596,0.056466513247536244,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.7032464016430614,0.07532329321198086,0.12198525473017459,0.03373775895825459,0.048541425933324785,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl
baseline,adult_model_10,0.049,0.0525,random,0.6887408512255153,0.04494550269418444,0.06804202052413905,0.0021501613936106747,0.0014448625593020251,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.7424399996366786,0.03416896966503615,0.06031958907049189,0.04651756413817406,0.0636726431785105,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.7567403573972425,0.056426232124931995,0.1346381725470056,0.06818571990716019,0.07249576431808874,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl
baseline,adult_model_10,0.049,0.0525,random,0.7483433797880747,0.08930261374857651,0.12251292171018885,-4.934058591766596e-05,0.0006504255731369077,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.7279281788289171,0.03008237784269903,0.04153513718392116,0.07100909326564553,0.09326361537285591,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.7391195754475003,0.06535251944707395,0.11312570768310608,0.09554496997855973,0.09963902748386935,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl
baseline,adult_model_10,0.049,0.0525,random,0.7271984040245224,0.0884538257737461,0.1031825879635057,-0.0011921302185713568,-0.0013354287545058838,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.6673209609337589,0.02021065123559302,0.018189622984051166,-0.02770839559727942,-0.03417570618310653,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.6706155608758704,0.027649731647961757,0.021515535501796777,-0.027000154033312795,-0.02966394075238556,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl
baseline,adult_model_10,0.049,0.0525,random,0.69486633961663,0.06385575631349924,0.08067016579287187,0.0009090509572615861,0.0004908324013157225,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.6920224280682558,0.04099554890319944,0.03971393494165711,0.018467183949154843,0.011503197999025336,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.7100550678071211,0.11560220371355115,0.12396535770121392,0.03866175537960683,0.020174060711583112,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl
baseline,adult_model_10,0.049,0.0525,random,0.6987763891053314,0.05788648301506177,0.07362682453293294,0.0023117908303178416,0.0014401680501442866,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.6418000566501691,0.03466183485924436,0.045564284567789534,0.02274929310078669,0.021706742433411343,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.6459153973739179,0.059274786029887686,0.08399157181330827,0.016644923198445617,0.013341599470069942,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl
baseline,adult_model_10,0.049,0.0525,random,0.6387197156991786,0.03757876744141503,0.04509212316010146,0.0012223140879422817,0.002048216728976515,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.6757257338722128,0.005265974793297819,0.008026219078926587,0.0007921869387586456,-0.015356328143606508,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.6928603995992223,0.026852352589902144,0.08155192825944395,0.0186385099498295,-0.0008088148142198025,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl
baseline,adult_model_10,0.049,0.0525,random,0.6935753599143577,0.06886019799871101,0.08823165859537066,-0.0004889051342789668,0.00023871459567255848,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-15-34-54-57-77.pkl
baseline,adult_model_10,0.049,0.0525,delta,0.66293562611339,0.05073762486146919,0.06394989529440266,0.05881980623308777,0.05463819482642634,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl
baseline,adult_model_10,0.049,0.0525,tstat,0.6602618591247441,0.07393622442319708,0.07205268133975407,0.03288038102837264,0.04182415472915537,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl
baseline,adult_model_10,0.049,0.0525,random,0.6457357184458923,0.03830312449284914,0.04961423818018449,-0.0032344769294885218,-0.0030445637905349367,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-5-15-34-55-88.pkl
baseline,adult_model_10,0.0525,0.0551,delta,0.729068195976561,0.02700004943889598,0.034864644528321706,0.008717275805697713,0.026784922437880263,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl
baseline,adult_model_10,0.0525,0.0551,tstat,0.7344600703870212,0.024585311478826054,0.039499073407968384,0.01077173092375045,0.03203514752654031,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl
baseline,adult_model_10,0.0525,0.0551,random,0.7388549269959719,0.07352685484587246,0.08631262819521243,0.0024211483458368905,0.003145819478760081,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0525-0.0551-target-0-34-57-129.pkl
